Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Shannon Steel Labs,Apex,Vanax SuperClean,75.30,0.35,18.20,0.00,0.00,0.00,1.10,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,3.50,790,Tormek,13,1000 grit,8/1/2018,https://www.youtube.com/watch?v=-yS6wyV4eCs,,1,Other,1,13
Spyderco,Manix 2,Maxamet,64.07,2.15,4.75,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,13.00,6.00,563,Worksharp,20,,4/27/2017,https://www.youtube.com/watch?v=8I4JD8JAvVE,,1,Worksharp,1,20
Spyderco,Manix 2,Maxamet,64.07,2.15,4.75,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,13.00,6.00,810,Lansky,17,Toothy,1/21/2018,https://www.youtube.com/watch?v=jI_j0fFQhaM,,1,Lansky,1,17
Spyderco,Native 5,Maxamet,64.07,2.15,4.75,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,13.00,6.00,1050,EdgePro,17,"Polished (5 micron stone, 3 micron strop)",1/31/2019,https://www.youtube.com/watch?v=9uJPtm5LX5k,,1,Other,2,17
Spyderco,Mule Team,Maxamet,64.07,2.15,4.75,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,13.00,6.00,1075,KME,17,Polished,7/25/2019,https://www.youtube.com/watch?v=91OyDvPu-Rc,,1,KME,3,17
Spyderco,Manix 2,CPM S110V,65.10,2.80,14.00,2.00,0.00,0.00,3.50,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,9.00,281,Worksharp,20,,12/20/2016,https://www.youtube.com/watch?v=ndr4Cfla9j0,,1,Worksharp,1,20
Spyderco,PM2,CPM S110V,65.10,2.80,14.00,2.00,0.00,0.00,3.50,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,9.00,295,Worksharp,20,,8/20/2017,https://www.youtube.com/watch?v=dgQc37VbM04,Compression lock uncomfortable for this test,2,Worksharp,2,20
Spyderco,Para 3,CPM S110V,65.10,2.80,14.00,2.00,0.00,0.00,3.50,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,9.00,500,Lansky,17,Toothy,2/17/2018,https://www.youtube.com/watch?v=hIzozlRRySo,,1,Lansky,1,17
Spyderco,PM2,CPM S110V,65.10,2.80,14.00,2.00,0.00,0.00,3.50,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,9.00,680,KME,13,600 grit,9/16/2018,https://www.youtube.com/watch?v=XoKssgJb6eI,,1,KME,1,13
Spyderco,PM2,CPM S110V,65.10,2.80,14.00,2.00,0.00,0.00,3.50,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,9.00,650,KME,13,Polished,9/16/2018,https://www.youtube.com/watch?v=XoKssgJb6eI,,2,KME,2,13
Spyderco,Native 5,CPM S90V,73.70,2.30,14.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,278,Worksharp,20,,9/18/2017,https://www.youtube.com/watch?v=PnGZucst6M4,,1,Worksharp,1,20
Benchmade,Altitude,CPM S90V,73.70,2.30,14.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,440,Lansky,17,Toothy,3/14/2018,https://www.youtube.com/watch?v=u8WuSySOdOA,,1,Lansky,1,17
