Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Bark River,Bravo,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,198,Worksharp,20,,2/7/2017,https://www.youtube.com/watch?v=ytnQzLy8B5s,,1,Worksharp,1,20
Cold Steel,Master Hunter,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,209,Worksharp,20,,7/17/2017,https://www.youtube.com/watch?v=1mqgnyy9PDY,,2,Worksharp,2,20
Survive Knives,GSO 4.7,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,85,Factory,,,5/27/2018,https://www.youtube.com/watch?v=khKEFXm2faI,,1,Factory,,
Survive Knives,GSO 4.7,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,195,Worksharp,20,,5/27/2018,https://www.youtube.com/watch?v=khKEFXm2faI,,3,Worksharp,3,20
Survive Knives,GSO 4.7,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,207,Lansky,20,3000 grit,5/27/2018,https://www.youtube.com/watch?v=khKEFXm2faI,,1,Lansky,4,20
Survive Knives,GSO 4.7,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,290,KME,17,Polished (160K grit),7/22/2018,https://www.youtube.com/watch?v=GYgCVCXInSs,,1,KME,1,17
Survive Knives,GSO 4.7,CPM 3V,86.35,0.80,7.50,0.00,0.00,0.30,1.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.75,240,KME,17,Toothy (600 grit),7/22/2018,https://www.youtube.com/watch?v=GYgCVCXInSs,,2,KME,2,17
Spyderco,Para 3,CTS BD1N,80.44,0.90,16.00,0.00,0.00,1.00,0.50,0.00,0.00,0.13,0.03,1.00,0.01,0.00,0.00,0.00,150,Factory,17,,5/13/2019,https://www.youtube.com/watch?v=7RvP4A1tGeU,,1,Factory,1,17
Spyderco,Para 3,CTS BD1N,80.44,0.90,16.00,0.00,0.00,1.00,0.50,0.00,0.00,0.13,0.03,1.00,0.01,0.00,0.00,0.00,375,KME,17,Polished,5/13/2019,https://www.youtube.com/watch?v=7RvP4A1tGeU,,1,KME,2,17
Buck,311,420J2,84.60,0.33,13.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.04,1.00,0.03,0.00,0.00,0.00,40,Worksharp,20,,1/23/2018,https://www.youtube.com/watch?v=B-tC62cg6j8,,1,Worksharp,1,20
